Step;VehicleID;X_Pos;Y_Pos;Speed_ms;Angle
52;ourVehicle4;70.31;107.93;0.00;99.64
52;ourVehicle52;61.89;45.35;0.00;190.30
52;ourVehicle6;129.15;4.33;11.31;112.33
52;ourVehicle65;147.67;4.30;9.06;31.35
52;ourVehicle68;141.69;2.64;15.00;225.34
52;ourVehicle7;62.44;109.26;0.81;99.64
52;ourVehicle78;110.33;15.52;12.16;292.34
52;ourVehicle81;64.57;60.11;0.00;190.30
52;ourVehicle83;73.63;97.36;8.04;195.53
52;ourVehicle86;114.94;99.52;6.74;286.99
52;ourVehicle9;77.31;101.87;0.00;5.39
52;veh0;67.90;74.76;0.09;194.21
52;veh1;174.67;69.99;2.74;175.90
52;veh2;60.55;37.97;0.00;190.30
52;veh3;155.35;20.82;8.56;24.93
53;ourVehicle1;66.06;67.46;0.00;194.21
53;ourVehicle10;26.62;36.63;0.04;106.09
53;ourVehicle12;169.96;75.83;4.88;111.55
53;ourVehicle13;63.23;52.73;0.00;190.30
53;ourVehicle15;77.47;109.68;6.94;282.02
53;ourVehicle17;41.02;32.27;0.00;106.84
53;ourVehicle22;33.83;34.44;0.02;106.84
53;ourVehicle23;81.18;23.03;8.30;109.10
53;ourVehicle29;93.11;106.01;6.48;284.96
53;ourVehicle3;69.78;82.15;2.54;194.21
53;ourVehicle30;55.62;29.01;0.00;98.38
53;ourVehicle31;67.65;30.91;4.39;287.24
53;ourVehicle34;83.53;25.60;8.26;289.12
53;ourVehicle38;48.20;30.11;0.00;106.70
